Object_Name,RA_deg,Dec_deg,l_deg,b_deg,Distance_pc,mu_l_mas_yr,mu_l_err,mu_b_mas_yr,mu_b_err,Radial_Velocity_kms,Radial_Velocity_err,Sigma_v_l_kms,Sigma_v_l_err_up,Sigma_v_l_err_down,Sigma_v_b_kms,Sigma_v_b_err_up,Sigma_v_b_err_down,N_B_stars,N_B_stars_err_up,N_B_stars_err_down,N_O_stars,N_O_stars_err_up,N_O_stars_err_down,N_O_stars_corrected,N_O_stars_corrected_err_up,N_O_stars_corrected_err_down,Total_Stellar_Mass_Msun,Total_Stellar_Mass_err_up,Total_Stellar_Mass_err_down,Vel_Grad_l_mas_deg,Vel_Grad_l_mas_deg_err,Vel_Grad_l_km_pc,Vel_Grad_l_km_pc_err,Vel_Grad_b_mas_deg,Vel_Grad_b_mas_deg_err,Vel_Grad_b_km_pc,Vel_Grad_b_km_pc_err,Expansion_Age_l_Myr,Expansion_Age_l_Myr_err,Expansion_Age_b_Myr,Expansion_Age_b_Myr_err,U_obs_kms,V_obs_kms,W_obs_kms,U_lsr_kms,V_lsr_kms,W_lsr_kms,U_pec_kms,V_pec_kms,W_pec_kms,U_lsr_abs_kms,V_lsr_abs_kms,W_lsr_abs_kms,Beta_rad,v_lsr_kms,V_gal_abs_kms,v_l_kms,v_b_kms,v_lb_kms
Group A,301.45,35.68,72.61,2.06,1894.50,-6.90,0.24,-1.35,0.17,-12.50,2.77,2.20,0.55,0.47,1.55,0.32,0.24,112.00,3.00,3.00,3.00,1.00,1.00,13.00,4.00,3.00,2344.00,275.00,252.00,0.24,0.07,0.07,0.02,0.34,0.04,0.09,0.01,13.98,3.99,10.87,1.21,55.53,-30.03,-12.57,66.63,-15.03,-5.37,13.61,-5.60,-5.37,66.63,220.97,-5.37,0.23,5.44,230.40,-14.66,-5.32,15.60
Group B,304.37,41.43,78.58,3.31,1726.30,-5.47,0.34,-0.59,0.27,-21.00,10.80,2.72,0.47,0.37,2.18,0.41,0.33,82.00,3.00,2.00,4.00,1.00,1.00,11.00,4.00,3.00,1978.00,245.00,224.00,0.39,0.04,0.11,0.01,-0.03,0.04,-0.01,0.01,8.89,0.81,,,39.78,-29.14,-6.03,50.88,-14.14,1.17,2.82,-8.40,1.17,50.88,221.86,1.17,0.21,-3.55,227.60,-4.43,1.61,4.71
Group C,305.47,37.87,76.11,0.54,1713.10,-6.57,0.27,-1.19,0.12,-19.20,2.98,2.24,0.46,0.35,0.96,0.22,0.18,76.00,2.00,3.00,10.00,1.00,2.00,12.00,4.00,3.00,2165.00,245.00,224.00,0.38,0.04,0.10,0.01,0.10,0.04,0.03,0.01,7.93,0.80,32.62,10.87,47.21,-31.36,-9.84,58.31,-16.36,-2.64,10.86,-9.01,-2.64,58.31,219.64,-2.64,0.21,-1.80,226.99,-12.71,-2.59,12.97
Group D,304.34,37.64,75.44,1.19,2000.10,-5.55,0.16,-1.34,0.14,-7.00,3.88,1.53,0.45,0.41,1.32,0.30,0.26,75.00,2.00,3.00,4.00,2.00,1.00,11.00,4.00,3.00,1569.00,215.00,192.00,0.20,0.05,0.05,0.01,0.07,0.03,0.02,0.01,19.57,3.91,,,49.24,-19.75,-12.85,60.34,-4.75,-5.65,1.76,2.99,-5.65,60.34,231.25,-5.65,0.25,10.55,238.99,-0.95,-5.72,5.79
Group E,308.08,41.30,80.19,0.85,1674.00,-4.72,0.27,-0.96,0.25,-12.35,2.06,2.15,0.66,0.45,1.96,0.52,0.29,110.00,4.00,3.00,35.00,2.00,3.00,23.00,6.00,5.00,4198.00,354.00,319.00,0.43,0.06,0.12,0.01,0.16,0.05,0.04,0.01,8.37,0.70,24.46,6.11,34.82,-18.44,-7.80,45.92,-3.44,-0.60,-2.79,1.04,-0.60,45.92,232.56,-0.60,0.21,4.59,237.04,2.92,-0.61,2.99
Group F,302.95,36.58,74.04,1.44,1985.20,-6.11,0.30,-1.33,0.10,-13.48,5.06,2.80,0.58,0.48,1.50,0.30,0.25,139.00,3.00,3.00,5.00,2.00,1.00,17.00,4.00,5.00,2955.00,349.00,269.00,0.35,0.03,0.09,0.01,0.06,0.03,0.02,0.01,10.87,1.21,,,51.66,-28.46,-12.85,62.76,-13.46,-5.65,6.72,-4.88,-5.65,62.76,222.54,-5.65,0.25,4.25,231.12,-7.80,-5.58,9.59
W75N,309.65,42.63,81.87,0.78,1300.00,-4.50,0.01,-0.96,0.01,-7.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.37,-11.47,-6.02,37.47,3.53,1.18,-1.20,6.44,1.18,37.47,239.53,1.18,0.16,9.00,242.44,2.10,1.09,2.37
DR21,309.76,42.42,81.75,0.59,1500.00,-4.74,0.01,-0.06,0.01,-19.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.53,-24.33,-0.63,41.63,-9.33,6.57,-0.76,-5.54,6.57,41.63,226.67,6.57,0.18,-3.00,230.46,-0.04,6.63,6.63
DR20,309.25,41.58,80.86,0.38,1460.00,-5.84,0.01,-0.29,0.01,-19.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.76,-25.95,-2.14,47.86,-10.95,5.06,6.78,-6.01,5.06,47.86,225.05,5.06,0.18,-3.00,229.99,-7.65,5.09,9.19
IRAS20290+4052,307.71,41.04,79.74,0.99,1360.00,-5.02,0.02,-0.15,0.02,-18.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57,-23.87,-1.29,39.67,-8.87,5.91,1.22,-5.44,5.91,39.67,227.13,5.91,0.17,-1.40,230.56,-2.17,6.00,6.38
