Object_Name,RA_deg,Dec_deg,l_deg,b_deg,X_helio_pc,Y_helio_pc,Z_helio_pc,Distance_pc,mu_l_mas_yr,mu_b_mas_yr,Radial_Velocity_kms,Radial_Velocity_err,Sigma_v_l_kms,Sigma_v_l_err_up,Sigma_v_l_err_down,Sigma_v_b_kms,Sigma_v_b_err_up,Sigma_v_b_err_down,N_B_stars,N_B_stars_err_up,N_B_stars_err_down,N_O_stars,N_O_stars_err_up,N_O_stars_err_down,N_O_stars_corrected,N_O_stars_corrected_err_up,N_O_stars_corrected_err_down,Total_Stellar_Mass_Msun,Total_Stellar_Mass_err_up,Total_Stellar_Mass_err_down,Vel_Grad_l_mas_deg,Vel_Grad_l_mas_deg_err,Vel_Grad_l_km_pc,Vel_Grad_l_km_pc_err,Vel_Grad_b_mas_deg,Vel_Grad_b_mas_deg_err,Vel_Grad_b_km_pc,Vel_Grad_b_km_pc_err,Expansion_Age_l_Myr,Expansion_Age_l_Myr_err,Expansion_Age_b_Myr,Expansion_Age_b_Myr_err,U_obs_kms,V_obs_kms,W_obs_kms,U_lsr_kms,V_lsr_kms,W_lsr_kms,U_pec_kms,V_pec_kms,W_pec_kms,U_lsr_abs_kms,V_lsr_abs_kms,W_lsr_abs_kms,Beta_rad,v_lsr_kms,V_gal_abs_kms,v_l_kms,v_b_kms,v_lb_kms,Distance_err_pc,RA_err_deg,Dec_err_deg,l_err_deg,b_err_deg,X_helio_err_pc,Y_helio_err_pc,Z_helio_err_pc,mu_l_err,mu_b_err,Radial_Velocity_err_kms,U_obs_err_kms,V_obs_err_kms,W_obs_err_kms,U_lsr_err_kms,V_lsr_err_kms,W_lsr_err_kms,U_lsr_abs_err_kms,V_lsr_abs_err_kms,W_lsr_abs_err_kms,U_pec_err_kms,V_pec_err_kms,W_pec_err_kms,v_lsr_err_kms,V_gal_abs_err_kms,v_l_pec_err_kms,v_b_pec_err_kms,v_lb_err_kms
Group A,301.45,35.68,72.61,2.06,565.85,1806.74,68.10,1894.50,-6.90,-1.35,-12.50,2.77,2.20,0.55,0.47,1.55,0.32,0.24,112.00,3.00,3.00,3.00,1.00,1.00,13.00,4.00,3.00,2344.00,275.00,252.00,0.24,0.07,0.07,0.02,0.34,0.04,0.09,0.01,13.98,3.99,10.87,1.21,55.53,-30.03,-12.57,66.63,-15.03,-5.37,13.61,-5.60,-5.37,66.63,220.97,-5.37,0.23,5.44,230.40,-14.66,-5.32,15.60,4,0.00,0.00,0.00,0.00,1.173790779867447 pc,3.7478551125545563 pc,0.14126362259941588 pc,0.24,0.17,2.77,2.22,2.74,1.53,2.52,10.37,1.88,2.52,12.51,1.88,3.80,10.10,1.88,2.77,12.29,4.15,1.89,3.95
Group B,304.37,41.43,78.58,3.31,341.24,1689.30,99.67,1726.30,-5.47,-0.59,-21.00,10.80,2.72,0.47,0.37,2.18,0.41,0.33,82.00,3.00,2.00,4.00,1.00,1.00,11.00,4.00,3.00,1978.00,245.00,224.00,0.39,0.04,0.11,0.01,-0.03,0.04,-0.01,0.01,8.89,0.81,,,39.78,-29.14,-6.03,50.88,-14.14,1.17,2.82,-8.40,1.17,50.88,221.86,1.17,0.21,-3.55,227.60,-4.43,1.61,4.71,7,0.00,0.00,0.00,0.00,1.3806210972871182 pc,6.834815280474001 pc,0.4032728819152255 pc,0.34,0.27,10.80,3.47,10.41,2.26,3.67,14.44,2.51,3.67,16.05,2.51,4.94,14.13,2.51,10.80,15.77,5.47,2.52,5.22
Group C,305.47,37.87,76.11,0.54,411.23,1662.93,16.15,1713.10,-6.57,-1.19,-19.20,2.98,2.24,0.46,0.35,0.96,0.22,0.18,76.00,2.00,3.00,10.00,1.00,2.00,12.00,4.00,3.00,2165.00,245.00,224.00,0.38,0.04,0.10,0.01,0.10,0.04,0.03,0.01,7.93,0.80,32.62,10.87,47.21,-31.36,-9.84,58.31,-16.36,-2.64,10.86,-9.01,-2.64,58.31,219.64,-2.64,0.21,-1.80,226.99,-12.71,-2.59,12.97,10,0.00,0.00,0.00,0.00,2.4177798223114086 pc,9.777120147174502 pc,0.09492302719633963 pc,0.27,0.12,2.98,2.26,2.94,0.98,2.56,10.42,1.48,2.56,12.56,1.48,3.64,10.21,1.48,2.98,12.38,4.01,1.49,3.94
Group D,304.34,37.64,75.44,1.19,502.70,1935.45,41.54,2000.10,-5.55,-1.34,-7.00,3.88,1.53,0.45,0.41,1.32,0.30,0.26,75.00,2.00,3.00,4.00,2.00,1.00,11.00,4.00,3.00,1569.00,215.00,192.00,0.20,0.05,0.05,0.01,0.07,0.03,0.02,0.01,19.57,3.91,,,49.24,-19.75,-12.85,60.34,-4.75,-5.65,1.76,2.99,-5.65,60.34,231.25,-5.65,0.25,10.55,238.99,-0.95,-5.72,5.79,10,0.00,0.00,0.00,0.00,2.5186522585947073 pc,9.697014285928232 pc,0.20811431475663303 pc,0.16,0.14,3.88,1.80,3.80,1.35,2.16,10.70,1.74,2.16,12.79,1.74,3.77,10.39,1.74,3.88,12.53,4.15,1.75,1.86
Group E,308.08,41.30,80.19,0.85,285.19,1649.34,24.83,1674.00,-4.72,-0.96,-12.35,2.06,2.15,0.66,0.45,1.96,0.52,0.29,110.00,4.00,3.00,35.00,2.00,3.00,23.00,6.00,5.00,4198.00,354.00,319.00,0.43,0.06,0.12,0.01,0.16,0.05,0.04,0.01,8.37,0.70,24.46,6.11,34.82,-18.44,-7.80,45.92,-3.44,-0.60,-2.79,1.04,-0.60,45.92,232.56,-0.60,0.21,4.59,237.04,2.92,-0.61,2.99,10,0.00,0.00,0.00,0.00,1.685257934542609 pc,9.74648980685932 pc,0.14674777001345926 pc,0.27,0.25,2.06,2.13,2.06,1.98,2.45,10.21,2.27,2.45,12.38,2.27,3.49,10.01,2.27,2.06,12.21,3.87,2.27,3.82
Group F,302.95,36.58,74.04,1.44,545.69,1908.08,49.89,1985.20,-6.11,-1.33,-13.48,5.06,2.80,0.58,0.48,1.50,0.30,0.25,139.00,3.00,3.00,5.00,2.00,1.00,17.00,4.00,5.00,2955.00,349.00,269.00,0.35,0.03,0.09,0.01,0.06,0.03,0.02,0.01,10.87,1.21,,,51.66,-28.46,-12.85,62.76,-13.46,-5.65,6.72,-4.88,-5.65,62.76,222.54,-5.65,0.25,4.25,231.12,-7.80,-5.58,9.59,10,0.00,0.00,0.00,0.00,2.7248600169418857 pc,9.527806658737457 pc,0.24911469259962196 pc,0.30,0.10,5.06,3.08,4.86,0.97,3.30,11.12,1.47,3.30,13.14,1.47,4.53,10.82,1.47,5.06,12.88,4.85,1.48,4.04
W75N,309.65,42.63,81.87,0.78,183.83,1286.82,17.70,1300.00,-4.50,-0.96,-7.71,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.37,-11.47,-6.02,37.47,3.53,1.18,-1.20,6.44,1.18,37.47,239.53,1.18,0.16,9.00,242.44,2.10,1.09,2.37,70,0.00,0.00,0.00,0.00,9.884062805195379 pc,69.18931563852634 pc,0.9515390424755088 pc,0.01,0.01,0.01,1.48,0.21,0.32,1.90,10.00,1.15,1.90,12.21,1.15,2.71,9.88,1.15,0.01,12.11,3.19,1.16,2.88
DR21,309.76,42.42,81.75,0.59,215.23,1484.40,15.45,1500.00,-4.74,-0.06,-19.70,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.53,-24.33,-0.63,41.63,-9.33,6.57,-0.76,-5.54,6.57,41.63,226.67,6.57,0.18,-3.00,230.46,-0.04,6.63,6.63,80,0.00,0.00,0.00,0.00,11.43689672992495 pc,78.87890395416935 pc,0.8207809733331854 pc,0.01,0.01,0.01,1.77,0.26,0.08,2.14,10.00,1.10,2.14,12.21,1.10,3.08,9.84,1.10,0.01,12.08,3.50,1.12,1.12
DR20,309.25,41.58,80.86,0.38,231.91,1441.43,9.68,1460.00,-5.84,-0.29,-19.79,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.76,-25.95,-2.14,47.86,-10.95,5.06,6.78,-6.01,5.06,47.86,225.05,5.06,0.18,-3.00,229.99,-7.65,5.09,9.19,90,0.00,0.00,0.00,0.00,14.357121900489961 pc,89.23553350183735 pc,0.5994532580343899 pc,0.01,0.01,0.01,2.47,0.40,0.14,2.75,10.01,1.11,2.75,12.21,1.11,3.48,9.86,1.11,0.01,12.09,3.85,1.12,3.26
IRAS20290+4052,307.71,41.04,79.74,0.99,242.20,1338.05,23.50,1360.00,-5.02,-0.15,-18.42,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.57,-23.87,-1.29,39.67,-8.87,5.91,1.22,-5.44,5.91,39.67,227.13,5.91,0.17,-1.40,230.56,-2.17,6.00,6.38,120,0.00,0.00,0.00,0.00,21.262736122028336 pc,117.46737178336414 pc,2.0628745621166527 pc,0.02,0.02,0.01,2.80,0.51,0.16,3.04,10.01,1.11,3.04,12.22,1.11,3.63,9.89,1.11,0.02,12.11,3.98,1.12,1.72
